GTDB R95 class	Number of genomes	Number of NCBI classes	List of NCBI classes
c__Gammaproteobacteria	83161	15	c__Gammaproteobacteria 87.85%, c__Betaproteobacteria 11.83%, c__(p__Cyanobacteria) 0.19%, c__Acidithiobacillia 0.05%, c__Hydrogenophilalia 0.04%, c__Alphaproteobacteria 0.03%, c__Candidatus Muproteobacteria 0.01%, c__Bacilli(p__Firmicutes) 0.0%, c__Actinobacteria(p__Actinobacteria) 0.0%, c__Chlamydiia(p__Chlamydiae) 0.0%, c__Clostridia(p__Firmicutes) 0.0%, c__Aquificae(p__Aquificae) 0.0%, c__Sphingobacteriia(p__Bacteroidetes) 0.0%, c__Nitrospira(p__Nitrospirae) 0.0%, c__Epsilonproteobacteria 0.0%
c__Bacilli	44844	11	c__Bacilli 96.87%, c__Mollicutes(p__Tenericutes) 1.77%, c__Erysipelotrichia 0.77%, c__(p__Cyanobacteria) 0.38%, c__Clostridia 0.17%, c__Actinobacteria(p__Actinobacteria) 0.01%, c__Alphaproteobacteria(p__Proteobacteria) 0.01%, c__Chlamydiia(p__Chlamydiae) 0.0%, c__Gammaproteobacteria(p__Proteobacteria) 0.0%, c__Bacteroidia(p__Bacteroidetes) 0.0%, c__Tissierellia 0.0%
c__Actinomycetia	17443	10	c__Actinobacteria(p__Actinobacteria) 99.46%, c__Nitriliruptoria(p__Actinobacteria) 0.4%, c__(p__Cyanobacteria) 0.09%, c__Tissierellia(p__Firmicutes) 0.02%, c__Bacilli(p__Firmicutes) 0.02%, c__Rhodothermia(p__Rhodothermaeota) 0.01%, c__Gammaproteobacteria(p__Proteobacteria) 0.01%, c__Acidimicrobiia(p__Actinobacteria) 0.01%, c__Cytophagia(p__Bacteroidetes) 0.01%, c__Clostridia(p__Firmicutes) 0.01%
c__Alphaproteobacteria	9386	8	c__Alphaproteobacteria 99.3%, c__(p__Cyanobacteria) 0.55%, c__Gammaproteobacteria 0.04%, c__Actinobacteria(p__Actinobacteria) 0.04%, c__Betaproteobacteria 0.02%, c__Bacilli(p__Firmicutes) 0.02%, c__Zetaproteobacteria 0.01%, c__Acidimicrobiia(p__Actinobacteria) 0.01%
c__Clostridia	7534	10	c__Clostridia(p__Firmicutes) 95.42%, c__(p__Cyanobacteria) 2.36%, c__Tissierellia(p__Firmicutes) 2.03%, c__Bacteroidia(p__Bacteroidetes) 0.05%, c__Bacilli(p__Firmicutes) 0.03%, c__Erysipelotrichia(p__Firmicutes) 0.03%, c__Deltaproteobacteria(p__Proteobacteria) 0.03%, c__Fusobacteriia(p__Fusobacteria) 0.03%, c__Actinobacteria(p__Actinobacteria) 0.01%, c__Anaerolineae(p__Chloroflexi) 0.01%
c__Bacteroidia	7337	11	c__Bacteroidia(p__Bacteroidetes) 50.16%, c__Flavobacteriia(p__Bacteroidetes) 31.76%, c__Cytophagia(p__Bacteroidetes) 5.59%, c__(p__Cyanobacteria) 4.7%, c__Sphingobacteriia(p__Bacteroidetes) 4.53%, c__Chitinophagia(p__Bacteroidetes) 2.41%, c__Saprospiria(p__Bacteroidetes) 0.74%, c__Alphaproteobacteria(p__Proteobacteria) 0.04%, c__Gammaproteobacteria(p__Proteobacteria) 0.04%, c__Epsilonproteobacteria(p__Proteobacteria) 0.03%, c__Synergistia(p__Synergistetes) 0.01%
c__Campylobacteria	4985	2	c__Epsilonproteobacteria(p__Proteobacteria) 99.98%, c__(p__Cyanobacteria) 0.02%
c__Cyanobacteriia	1235	3	c__ 99.76%, c__Gloeobacteria 0.16%, c__Actinobacteria(p__Actinobacteria) 0.08%
c__Paceibacteria	993	2	c__(p__Cyanobacteria) 99.9%, c__Spirochaetia(p__Spirochaetes) 0.1%
c__Coriobacteriia	809	3	c__Coriobacteriia(p__Actinobacteria) 95.92%, c__(p__Cyanobacteria) 2.47%, c__Actinobacteria(p__Actinobacteria) 1.61%
c__Verrucomicrobiae	759	6	c__Verrucomicrobiae(p__Verrucomicrobia) 42.69%, c__Opitutae(p__Verrucomicrobia) 25.43%, c__(p__Cyanobacteria) 24.9%, c__Spartobacteria(p__Verrucomicrobia) 5.4%, c__Methylacidiphilae(p__Verrucomicrobia) 1.45%, c__Alphaproteobacteria(p__Proteobacteria) 0.13%
c__Leptospirae	635	2	c__Spirochaetia(p__Spirochaetes) 99.69%, c__(p__Cyanobacteria) 0.31%
c__Spirochaetia	616	2	c__Spirochaetia(p__Spirochaetes) 97.08%, c__(p__Cyanobacteria) 2.92%
c__Acidimicrobiia	608	4	c__Acidimicrobiia(p__Actinobacteria) 83.06%, c__Actinobacteria(p__Actinobacteria) 13.98%, c__(p__Cyanobacteria) 2.8%, c__Dehalococcoidia(p__Chloroflexi) 0.16%
c__Microgenomatia	555	2	c__(p__Cyanobacteria) 99.82%, c__Gammaproteobacteria(p__Proteobacteria) 0.18%
c__Negativicutes	470	3	c__Negativicutes(p__Firmicutes) 98.94%, c__(p__Cyanobacteria) 0.85%, c__Bacilli(p__Firmicutes) 0.21%
c__Acidobacteriae	466	2	c__Acidobacteriia(p__Acidobacteria) 73.82%, c__(p__Cyanobacteria) 26.18%
