GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__Enterobacteriaceae	45359	16	f__Enterobacteriaceae 93.6%, f__Yersiniaceae 3.26%, f__Erwiniaceae 0.98%, f__Morganellaceae 0.95%, f__Pectobacteriaceae 0.62%, f__Hafniaceae 0.25%, f__Orbaceae(o__Orbales) 0.24%, f__(o__Burkholderiales) 0.07%, f__Budviciaceae 0.03%, f__Vibrionaceae(o__Vibrionales) 0.0%, f__Alcaligenaceae(o__Burkholderiales) 0.0%, f__Oxalobacteraceae(o__Burkholderiales) 0.0%, f__Thorselliaceae 0.0%, f__Moraxellaceae(o__Pseudomonadales) 0.0%, f__Streptococcaceae(o__Lactobacillales) 0.0%, f__Sphingobacteriaceae(o__Sphingobacteriales) 0.0%
f__Streptococcaceae	14735	5	f__Streptococcaceae 99.97%, f__Enterococcaceae 0.01%, f__Staphylococcaceae(o__Bacillales) 0.01%, f__Sphingomonadaceae(o__Sphingomonadales) 0.01%, f__Pasteurellaceae(o__Pasteurellales) 0.01%
f__Staphylococcaceae	12904	6	f__Staphylococcaceae(o__Bacillales) 99.95%, f__Streptococcaceae(o__Lactobacillales) 0.02%, f__Micrococcaceae(o__Micrococcales) 0.01%, f__Lachnospiraceae(o__Clostridiales) 0.01%, f__(o__Burkholderiales) 0.01%, f__Rhodobacteraceae(o__Rhodobacterales) 0.01%
f__Mycobacteriaceae	10757	16	f__Mycobacteriaceae(o__Corynebacteriales) 85.79%, f__Corynebacteriaceae(o__Corynebacteriales) 7.93%, f__Nocardiaceae(o__Corynebacteriales) 4.8%, f__Gordoniaceae(o__Corynebacteriales) 0.8%, f__Dietziaceae(o__Corynebacteriales) 0.25%, f__Tsukamurellaceae(o__Corynebacteriales) 0.17%, f__Williamsiaceae(o__Corynebacteriales) 0.11%, f__(o__Burkholderiales) 0.07%, f__Segniliparaceae(o__Corynebacteriales) 0.02%, f__Micromonosporaceae(o__Micromonosporales) 0.01%, f__Streptomycetaceae(o__Streptomycetales) 0.01%, f__Streptosporangiaceae(o__Streptosporangiales) 0.01%, f__Pseudomonadaceae(o__Pseudomonadales) 0.01%, f__Streptococcaceae(o__Lactobacillales) 0.01%, f__Thermoactinomycetaceae(o__Bacillales) 0.01%, f__Clostridiaceae(o__Clostridiales) 0.01%
f__Pseudomonadaceae	9264	8	f__Pseudomonadaceae 99.62%, f__(o__Burkholderiales) 0.31%, f__Ventosimonadaceae 0.01%, f__Enterococcaceae(o__Lactobacillales) 0.01%, f__Burkholderiaceae(o__Burkholderiales) 0.01%, f__Moraxellaceae 0.01%, f__Xanthomonadaceae(o__Xanthomonadales) 0.01%, f__Streptococcaceae(o__Lactobacillales) 0.01%
f__Burkholderiaceae	6197	12	f__Burkholderiaceae 60.27%, f__Alcaligenaceae 21.24%, f__Comamonadaceae 9.49%, f__Oxalobacteraceae 4.03%, f__ 3.76%, f__Sutterellaceae 1.1%, f__Pseudomonadaceae(o__Pseudomonadales) 0.03%, f__Phyllobacteriaceae(o__Rhizobiales) 0.02%, f__Moraxellaceae(o__Pseudomonadales) 0.02%, f__Neisseriaceae(o__Neisseriales) 0.02%, f__Nocardiaceae(o__Corynebacteriales) 0.02%, f__Peptostreptococcaceae(o__Clostridiales) 0.02%
f__Moraxellaceae	5293	6	f__Moraxellaceae 99.55%, f__(o__Burkholderiales) 0.28%, f__Enterobacteriaceae(o__Enterobacterales) 0.11%, f__Carnobacteriaceae(o__Lactobacillales) 0.02%, f__Chlamydiaceae(o__Chlamydiales) 0.02%, f__Neisseriaceae(o__Neisseriales) 0.02%
f__Rhizobiaceae	3941	11	f__Rhizobiaceae 30.4%, f__(o__Burkholderiales) 21.97%, f__Brucellaceae 21.62%, f__Phyllobacteriaceae 21.06%, f__Bartonellaceae 3.35%, f__Aurantimonadaceae 1.27%, f__Rhodobacteraceae(o__Rhodobacterales) 0.18%, f__Notoacmeibacteraceae 0.08%, f__Sphingomonadaceae(o__Sphingomonadales) 0.03%, f__Bradyrhizobiaceae 0.03%, f__Mabikibacteraceae 0.03%
f__Vibrionaceae	3912	2	f__Vibrionaceae(o__Vibrionales) 99.95%, f__(o__Burkholderiales) 0.05%
f__Enterococcaceae	3596	4	f__Enterococcaceae 99.89%, f__Listeriaceae(o__Bacillales) 0.06%, f__(o__Burkholderiales) 0.03%, f__Lactobacillaceae 0.03%
