GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__Escherichia	19596	7	g__Escherichia 89.4%, g__Shigella 10.58%, g__Achromobacter(f__Alcaligenaceae) 0.01%, g__Klebsiella 0.01%, g__Streptococcus(f__Streptococcaceae) 0.01%, g__Enterobacter 0.01%, g__Salmonella 0.01%
g__Streptococcus	14475	5	g__Streptococcus 99.97%, g__Staphylococcus(f__Staphylococcaceae) 0.01%, g__Sphingomonas(f__Sphingomonadaceae) 0.01%, g__Enterococcus(f__Enterococcaceae) 0.01%, g__Haemophilus(f__Pasteurellaceae) 0.01%
g__Staphylococcus	12748	5	g__Staphylococcus 99.95%, g__Streptococcus(f__Streptococcaceae) 0.02%, g__Lachnoclostridium(f__Lachnospiraceae) 0.01%, g__(f__Bradyrhizobiaceae) 0.01%, g__Sulfitobacter(f__Rhodobacteraceae) 0.01%
g__Mycobacterium	9228	6	g__Mycobacterium 77.97%, g__Mycobacteroides 19.25%, g__Mycolicibacterium 2.39%, g__Mycolicibacter 0.31%, g__(f__Bradyrhizobiaceae) 0.04%, g__Mycolicibacillus 0.03%
g__Klebsiella	8343	5	g__Klebsiella 99.87%, g__Escherichia 0.08%, g__Enterobacter 0.02%, g__(f__Bradyrhizobiaceae) 0.01%, g__Serratia(f__Yersiniaceae) 0.01%
g__Acinetobacter	4996	6	g__Acinetobacter 99.68%, g__(f__Bradyrhizobiaceae) 0.16%, g__Klebsiella(f__Enterobacteriaceae) 0.1%, g__Chlamydia(f__Chlamydiaceae) 0.02%, g__Prolinoborus(f__Neisseriaceae) 0.02%, g__Enterobacter(f__Enterobacteriaceae) 0.02%
g__Pseudomonas	4641	4	g__Pseudomonas 99.94%, g__(f__Bradyrhizobiaceae) 0.02%, g__Acinetobacter(f__Moraxellaceae) 0.02%, g__Streptococcus(f__Streptococcaceae) 0.02%
g__Pseudomonas_E	4067	5	g__Pseudomonas 99.66%, g__(f__Bradyrhizobiaceae) 0.27%, g__Enterococcus(f__Enterococcaceae) 0.02%, g__Paucimonas(f__Burkholderiaceae) 0.02%, g__Stenotrophomonas(f__Xanthomonadaceae) 0.02%
g__Vibrio	3576	3	g__Vibrio 99.8%, g__(f__Bradyrhizobiaceae) 0.11%, g__Candidatus Photodesmus 0.08%
g__Burkholderia	3047	2	g__Burkholderia 99.97%, g__Aquamicrobium(f__Phyllobacteriaceae) 0.03%
