GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__Enterobacterales	52384	14	o__Enterobacterales 86.35%, o__Vibrionales 7.47%, o__Pasteurellales 3.12%, o__Alteromonadales 1.76%, o__Aeromonadales 0.89%, o__Orbales 0.2%, o__(c__Tissierellia) 0.09%, o__Chromatiales 0.06%, o__Oceanospirillales 0.02%, o__Rickettsiales(c__Alphaproteobacteria) 0.01%, o__Pseudomonadales 0.01%, o__Burkholderiales(c__Betaproteobacteria) 0.0%, o__Lactobacillales(c__Bacilli) 0.0%, o__Sphingobacteriales(c__Sphingobacteriia) 0.0%	
o__Lactobacillales	24694	6	o__Lactobacillales 87.57%, o__Bacillales 12.4%, o__(c__Tissierellia) 0.02%, o__Bifidobacteriales(c__Actinobacteria) 0.0%, o__Sphingomonadales(c__Alphaproteobacteria) 0.0%, o__Pasteurellales(c__Gammaproteobacteria) 0.0%	
o__Pseudomonadales	15825	13	o__Pseudomonadales 91.85%, o__Oceanospirillales 3.68%, o__(c__Tissierellia) 1.7%, o__Cellvibrionales 1.61%, o__Alteromonadales 0.97%, o__Rhodospirillales(c__Alphaproteobacteria) 0.09%, o__Enterobacterales 0.04%, o__Lactobacillales(c__Bacilli) 0.02%, o__Rhodobacterales(c__Alphaproteobacteria) 0.01%, o__Chlamydiales(c__Chlamydiia) 0.01%, o__Burkholderiales(c__Betaproteobacteria) 0.01%, o__Xanthomonadales 0.01%, o__Neisseriales(c__Betaproteobacteria) 0.01%	
o__Staphylococcales	12955	6	o__Bacillales 99.94%, o__Lactobacillales 0.03%, o__Micrococcales(c__Actinobacteria) 0.01%, o__Clostridiales(c__Clostridia) 0.01%, o__(c__Tissierellia) 0.01%, o__Rhodobacterales(c__Alphaproteobacteria) 0.01%	
o__Mycobacteriales	11486	18	o__Corynebacteriales(c__Actinobacteria) 93.57%, o__Micromonosporales(c__Actinobacteria) 2.47%, o__Pseudonocardiales(c__Actinobacteria) 2.4%, o__Geodermatophilales(c__Actinobacteria) 0.59%, o__Frankiales(c__Actinobacteria) 0.46%, o__Glycomycetales(c__Actinobacteria) 0.13%, o__Actinopolysporales(c__Actinobacteria) 0.1%, o__(c__Tissierellia) 0.08%, o__Nakamurellales(c__Actinobacteria) 0.06%, o__Streptomycetales(c__Actinobacteria) 0.03%, o__Cryptosporangiales(c__Actinobacteria) 0.03%, o__Streptosporangiales(c__Actinobacteria) 0.01%, o__Pseudomonadales(c__Gammaproteobacteria) 0.01%, o__Acidimicrobiales(c__Acidimicrobiia) 0.01%, o__Actinomycetales(c__Actinobacteria) 0.01%, o__Lactobacillales(c__Bacilli) 0.01%, o__Bacillales(c__Bacilli) 0.01%, o__Clostridiales(c__Clostridia) 0.01%	
o__Burkholderiales	9893	14	o__Burkholderiales(c__Betaproteobacteria) 62.29%, o__Neisseriales(c__Betaproteobacteria) 30.93%, o__Nitrosomonadales(c__Betaproteobacteria) 3.25%, o__(c__Tissierellia) 1.95%, o__Rhodocyclales(c__Betaproteobacteria) 1.07%, o__Hydrogenophilales(c__Hydrogenophilalia) 0.33%, o__Ferrovales(c__Betaproteobacteria) 0.07%, o__Pseudomonadales 0.04%, o__Rhizobiales(c__Alphaproteobacteria) 0.01%, o__Corynebacteriales(c__Actinobacteria) 0.01%, o__Thiotrichales 0.01%, o__Clostridiales(c__Clostridia) 0.01%, o__Rhodobacterales(c__Alphaproteobacteria) 0.01%, o__Campylobacterales(c__Epsilonproteobacteria) 0.01%	
o__Campylobacterales	4972	2	o__Campylobacterales(c__Epsilonproteobacteria) 99.05%, o__(c__Tissierellia) 0.95%	
o__Rhizobiales	4939	5	o__Rhizobiales 97.12%, o__Rhodobacterales 1.84%, o__(c__Tissierellia) 0.99%, o__Streptomycetales(c__Actinobacteria) 0.02%, o__Sphingomonadales 0.02%	
o__Bacillales	4898	10	o__Bacillales 99.47%, o__Lactobacillales 0.18%, o__(c__Tissierellia) 0.16%, o__Clostridiales(c__Clostridia) 0.06%, o__Micrococcales(c__Actinobacteria) 0.02%, o__Pseudonocardiales(c__Actinobacteria) 0.02%, o__Vibrionales(c__Gammaproteobacteria) 0.02%, o__Rhodobacterales(c__Alphaproteobacteria) 0.02%, o__Corynebacteriales(c__Actinobacteria) 0.02%, o__Glycomycetales(c__Actinobacteria) 0.02%	
o__Bacteroidales	3842	5	o__Bacteroidales 93.28%, o__(c__Tissierellia) 4.29%, o__Marinilabiliales 2.37%, o__Synergistales(c__Synergistia) 0.03%, o__Cytophagales(c__Cytophagia) 0.03%	
