GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Escherichia flexneri	12267	8	s__Escherichia coli 83.3%, s__Shigella sonnei 10.65%, s__Shigella flexneri 3.86%, s__(g__Flavobacterium) 1.0%, s__Shigella boydii 0.83%, s__Shigella dysenteriae 0.35%, s__Streptococcus pneumoniae 0.01%, s__Salmonella enterica 0.01%
s__Salmonella enterica	10510	3	s__Salmonella enterica 99.94%, s__(g__Flavobacterium) 0.05%, s__Salmonella bongori 0.01%
s__Staphylococcus aureus	10497	4	s__Staphylococcus aureus 99.59%, s__(g__Flavobacterium) 0.39%, s__Staphylococcus hyicus 0.01%, s__Streptococcus dysgalactiae 0.01%
s__Streptococcus pneumoniae	8340	3	s__Streptococcus pneumoniae 99.98%, s__Sphingomonas paucimobilis 0.01%, s__Haemophilus haemolyticus 0.01%
s__Klebsiella pneumoniae	7580	7	s__Klebsiella pneumoniae 99.59%, s__Klebsiella aerogenes 0.12%, s__(g__Flavobacterium) 0.09%, s__Klebsiella oxytoca 0.09%, s__Escherichia coli 0.07%, s__Enterobacter cloacae 0.03%, s__Serratia liquefaciens 0.01%
s__Mycobacterium tuberculosis	6514	5	s__Mycobacterium tuberculosis 99.8%, s__Mycobacterium canettii 0.14%, s__Mycobacterium orygis 0.03%, s__Mycobacterium mungi 0.02%, s__(g__Flavobacterium) 0.02%
s__Pseudomonas aeruginosa	4561	5	s__Pseudomonas aeruginosa 98.79%, s__(g__Flavobacterium) 0.81%, s__Pseudomonas denitrificans 0.35%, s__Acinetobacter baumannii 0.02%, s__Pseudomonas fluorescens 0.02%
s__Acinetobacter baumannii	3975	5	s__Acinetobacter baumannii 99.55%, s__(g__Flavobacterium) 0.25%, s__Klebsiella pneumoniae 0.13%, s__Acinetobacter calcoaceticus 0.05%, s__Chlamydia abortus 0.03%
s__Escherichia coli	3724	3	s__Escherichia coli 99.89%, s__(g__Flavobacterium) 0.08%, s__Shigella flexneri 0.03%
s__Clostridioides difficile	2007	2	s__Clostridioides difficile 99.35%, s__(g__Flavobacterium) 0.65%
s__Neisseria meningitidis	1933	11	s__Neisseria meningitidis 99.48%, s__(g__Flavobacterium) 0.05%, s__Neisseria mucosa 0.05%, s__Neisseria polysaccharea 0.05%, s__Psychrobacter immobilis 0.05%, s__Neisseria canis 0.05%, s__Neisseria macacae 0.05%, s__Neisseria animalis 0.05%, s__Bergeriella denitrificans 0.05%, s__Neisseria elongata 0.05%, s__Neisseria sicca 0.05%
s__Escherichia dysenteriae	1679	3	s__Escherichia coli 98.87%, s__Shigella dysenteriae 1.07%, s__Shigella boydii 0.06%
s__Escherichia coli_D	1679	6	s__Escherichia coli 98.21%, s__Shigella sonnei 0.77%, s__(g__Flavobacterium) 0.6%, s__Shigella boydii 0.3%, s__Klebsiella oxytoca 0.06%, s__Shigella dysenteriae 0.06%
s__Mycobacterium abscessus	1673	1	s__Mycobacteroides abscessus 100.0%
s__Burkholderia mallei	1628	3	s__Burkholderia pseudomallei 94.66%, s__Burkholderia mallei 5.1%, s__(g__Flavobacterium) 0.25%
s__Campylobacter_D jejuni	1588	3	s__Campylobacter jejuni 96.1%, s__(g__Flavobacterium) 3.72%, s__Campylobacter coli 0.19%
s__Enterococcus_B faecium	1537	3	s__Enterococcus faecium 97.92%, s__(g__Flavobacterium) 2.02%, s__Enterococcus hirae 0.07%
s__Enterococcus faecalis	1426	4	s__Enterococcus faecalis 99.51%, s__(g__Flavobacterium) 0.35%, s__Listeria monocytogenes 0.07%, s__Enterococcus faecium 0.07%
s__Pseudomonas_E viridiflava	1357	4	s__(g__Flavobacterium) 98.89%, s__Pseudomonas viridiflava 0.88%, s__Pseudomonas syringae 0.15%, s__Pseudomonas marginalis 0.07%
s__Vibrio parahaemolyticus	1288	2	s__Vibrio parahaemolyticus 99.61%, s__(g__Flavobacterium) 0.39%
s__Listeria monocytogenes_B	1249	1	s__Listeria monocytogenes 100.0%
s__Streptococcus agalactiae	1185	3	s__Streptococcus agalactiae 97.38%, s__(g__Flavobacterium) 2.53%, s__Enterococcus faecalis 0.08%
s__Enterobacter himalayensis	1110	10	s__Enterobacter hormaechei 62.97%, s__Enterobacter cloacae 32.97%, s__(g__Flavobacterium) 3.24%, s__Klebsiella aerogenes 0.27%, s__Enterobacter cancerogenus 0.09%, s__Klebsiella oxytoca 0.09%, s__Acinetobacter baumannii 0.09%, s__Pedobacter himalayensis 0.09%, s__Escherichia coli 0.09%, s__Klebsiella pneumoniae 0.09%
s__Vibrio cholerae	1038	2	s__Vibrio cholerae 98.27%, s__(g__Flavobacterium) 1.73%
s__Bordetella pertussis	891	4	s__Bordetella pertussis 86.64%, s__Bordetella bronchiseptica 10.33%, s__Bordetella parapertussis 2.81%, s__(g__Flavobacterium) 0.22%
s__Campylobacter_D coli	775	3	s__Campylobacter coli 98.84%, s__Campylobacter jejuni 1.03%, s__(g__Flavobacterium) 0.13%
s__Brucella melitensis	755	12	s__Brucella melitensis 44.9%, s__Brucella abortus 31.52%, s__Brucella suis 8.74%, s__(g__Flavobacterium) 5.43%, s__Brucella canis 3.84%, s__Brucella ovis 2.25%, s__Brucella ceti 1.19%, s__Brucella neotomae 0.79%, s__Brucella pinnipedialis 0.66%, s__Brucella inopinata 0.26%, s__Brucella vulpis 0.26%, s__Brucella microti 0.13%
s__Haemophilus influenzae	645	2	s__Haemophilus influenzae 99.69%, s__(g__Flavobacterium) 0.31%
s__Staphylococcus epidermidis	615	2	s__Staphylococcus epidermidis 94.63%, s__(g__Flavobacterium) 5.37%
s__Bacillus_A bombysepticus	495	6	s__Bacillus cereus 78.99%, s__Bacillus thuringiensis 17.17%, s__(g__Flavobacterium) 3.03%, s__Streptococcus pneumoniae 0.4%, s__Bacillus bombysepticus 0.2%, s__Bacillus albus 0.2%
s__Lactiplantibacillus plantarum	457	3	s__Lactobacillus plantarum 99.34%, s__(g__Flavobacterium) 0.44%, s__Lactobacillus acidophilus 0.22%
s__Klebsiella quasipneumoniae	395	5	s__Klebsiella quasipneumoniae 63.54%, s__Klebsiella pneumoniae 26.84%, s__(g__Flavobacterium) 9.11%, s__Escherichia coli 0.25%, s__Klebsiella aerogenes 0.25%
s__Yersinia pestis	385	4	s__Yersinia pestis 78.7%, s__Yersinia pseudotuberculosis 20.26%, s__Yersinia wautersii 0.78%, s__Yersinia intermedia 0.26%
s__Serratia marcescens_I	382	6	s__Serratia marcescens 95.29%, s__(g__Flavobacterium) 3.14%, s__Shigella boydii 0.79%, s__Klebsiella oxytoca 0.26%, s__Serratia nematodiphila 0.26%, s__Shigella sonnei 0.26%
s__Klebsiella variicola	356	6	s__Klebsiella variicola 77.53%, s__Klebsiella pneumoniae 15.17%, s__(g__Flavobacterium) 6.18%, s__Klebsiella aerogenes 0.56%, s__Klebsiella michiganensis 0.28%, s__Escherichia coli 0.28%
s__Helicobacter pylori_BU	322	1	s__Helicobacter pylori 100.0%
s__Burkholderia ubonensis	306	3	s__Burkholderia ubonensis 99.35%, s__(g__Flavobacterium) 0.33%, s__Burkholderia multivorans 0.33%
s__Cutibacterium acnes	289	2	s__Cutibacterium acnes 91.7%, s__(g__Flavobacterium) 8.3%
s__Bacillus_A anthracis	280	6	s__Bacillus anthracis 69.29%, s__Bacillus cereus 16.79%, s__Bacillus thuringiensis 7.5%, s__(g__Flavobacterium) 5.71%, s__Streptococcus pneumoniae 0.36%, s__Bacillus subtilis 0.36%
s__Staphylococcus haemolyticus	264	3	s__Staphylococcus haemolyticus 85.61%, s__(g__Flavobacterium) 14.02%, s__Staphylococcus aureus 0.38%
s__Bacillus velezensis	264	6	s__Bacillus velezensis 71.21%, s__Bacillus amyloliquefaciens 18.94%, s__(g__Flavobacterium) 7.2%, s__Bacillus subtilis 1.89%, s__Bacillus vallismortis 0.38%, s__Paenibacillus lentimorbus 0.38%
s__Bacillus subtilis	255	6	s__Bacillus subtilis 88.24%, s__(g__Flavobacterium) 10.2%, s__Streptococcus pneumoniae 0.39%, s__Bacillus murimartini 0.39%, s__Bacillus gibsonii 0.39%, s__Paenibacillus polymyxa 0.39%
s__Acinetobacter pittii	251	4	s__Acinetobacter pittii 86.85%, s__(g__Flavobacterium) 11.55%, s__Acinetobacter baumannii 1.2%, s__Acinetobacter calcoaceticus 0.4%
s__Pseudomonas_E avellanae	250	4	s__Pseudomonas syringae 85.2%, s__(g__Flavobacterium) 8.0%, s__Pseudomonas avellanae 4.4%, s__Pseudomonas amygdali 2.4%
s__Helicobacter pylori_C	246	1	s__Helicobacter pylori 100.0%
s__Francisella tularensis	244	2	s__Francisella tularensis 99.59%, s__(g__Flavobacterium) 0.41%
s__Burkholderia cenocepacia	242	3	s__Burkholderia cenocepacia 98.35%, s__Burkholderia cepacia 1.24%, s__(g__Flavobacterium) 0.41%
s__Bacillus_A toyonensis	236	4	s__Bacillus toyonensis 87.29%, s__Bacillus cereus 7.2%, s__Bacillus thuringiensis 3.81%, s__(g__Flavobacterium) 1.69%
s__Corynebacterium diphtheriae	235	2	s__Corynebacterium diphtheriae 95.74%, s__Corynebacterium belfantii 4.26%
s__Staphylococcus pseudintermedius	218	2	s__Staphylococcus pseudintermedius 99.54%, s__Staphylococcus aureus 0.46%
s__Bacillus_A thuringiensis	218	4	s__Bacillus thuringiensis 83.94%, s__Bacillus cereus 11.01%, s__(g__Flavobacterium) 4.13%, s__Bacillus toyonensis 0.92%
s__Pseudomonas_E amygdali	209	8	s__Pseudomonas savastanoi 45.93%, s__Pseudomonas amygdali 37.32%, s__Pseudomonas syringae 11.48%, s__(g__Flavobacterium) 1.44%, s__Pseudomonas ficuserectae 1.44%, s__Pseudomonas meliae 0.96%, s__Pseudomonas viridiflava 0.96%, s__Pseudomonas coronafaciens 0.48%
s__Agrobacterium tumefaciens	208	2	s__(g__Flavobacterium) 92.31%, s__Agrobacterium tumefaciens 7.69%
s__Klebsiella_B aerogenes	203	3	s__Klebsiella aerogenes 98.52%, s__Enterobacter cloacae 0.99%, s__Escherichia coli 0.49%
s__Bacillus_A wiedmannii	201	5	s__Bacillus wiedmannii 75.62%, s__Bacillus cereus 16.42%, s__Bacillus thuringiensis 3.98%, s__(g__Flavobacterium) 3.48%, s__Bacillus toyonensis 0.5%
s__Sinorhizobium meliloti	198	3	s__Sinorhizobium meliloti 98.99%, s__Mesorhizobium loti 0.51%, s__(g__Flavobacterium) 0.51%
s__Xanthomonas perforans	198	4	s__Xanthomonas perforans 66.67%, s__Xanthomonas euvesicatoria 32.32%, s__Xanthomonas alfalfae 0.51%, s__Xanthomonas axonopodis 0.51%
s__Mycobacterium avium	197	4	s__Mycobacterium avium 97.97%, s__(g__Flavobacterium) 1.02%, s__Mycobacterium timonense 0.51%, s__Mycobacterium bouchedurhonense 0.51%
s__Burkholderia multivorans	194	2	s__Burkholderia multivorans 98.97%, s__(g__Flavobacterium) 1.03%
s__Xanthomonas citri	189	6	s__Xanthomonas citri 86.77%, s__Xanthomonas axonopodis 4.23%, s__Xanthomonas campestris 4.23%, s__Xanthomonas phaseoli 3.7%, s__[Pseudomonas] cissicola 0.53%, s__(g__Flavobacterium) 0.53%
s__Pasteurella multocida	187	2	s__Pasteurella multocida 99.47%, s__(g__Flavobacterium) 0.53%
s__Enterococcus_B faecium_B	182	2	s__Enterococcus faecium 95.05%, s__(g__Flavobacterium) 4.95%
s__Lacticaseibacillus paracasei	182	3	s__Lactobacillus paracasei 89.01%, s__Lactobacillus casei 6.04%, s__(g__Flavobacterium) 4.95%
s__Lacticaseibacillus rhamnosus	176	2	s__Lactobacillus rhamnosus 93.18%, s__(g__Flavobacterium) 6.82%
s__Bacillus_A thuringiensis_S	176	3	s__Bacillus thuringiensis 83.52%, s__Bacillus cereus 11.36%, s__(g__Flavobacterium) 5.11%
s__Vibrio vulnificus	175	2	s__Vibrio vulnificus 99.43%, s__Vibrio fluvialis 0.57%
s__Agrobacterium sp000192635	175	3	s__(g__Flavobacterium) 91.43%, s__Agrobacterium tumefaciens 8.0%, s__Agrobacterium rhizogenes 0.57%
s__Bacillus_A paranthracis	174	6	s__Bacillus cereus 87.36%, s__(g__Flavobacterium) 4.6%, s__Bacillus thuringiensis 3.45%, s__Bacillus paranthracis 2.3%, s__Bacillus pacificus 1.72%, s__Bacillus anthracis 0.57%
s__Citrobacter freundii	168	3	s__Citrobacter freundii 89.29%, s__(g__Flavobacterium) 9.52%, s__Escherichia coli 1.19%
s__Klebsiella_A michiganensis	164	4	s__Klebsiella oxytoca 58.54%, s__Klebsiella michiganensis 38.41%, s__(g__Flavobacterium) 2.44%, s__Klebsiella pneumoniae 0.61%
s__Clostridium_F botulinum	159	3	s__Clostridium botulinum 95.6%, s__Clostridium sporogenes 3.77%, s__Clostridium combesii 0.63%
s__Stenotrophomonas maltophilia	158	2	s__Stenotrophomonas maltophilia 98.73%, s__(g__Flavobacterium) 1.27%
s__Bacillus_A cereus	157	4	s__Bacillus cereus 71.34%, s__Bacillus thuringiensis 17.2%, s__(g__Flavobacterium) 8.28%, s__Streptococcus pneumoniae 3.18%
s__Proteus mirabilis	147	2	s__Proteus mirabilis 99.32%, s__(g__Flavobacterium) 0.68%
s__Clostridium_P perfringens	144	1	s__Clostridium perfringens 100.0%
s__Bacteroides fragilis	141	2	s__Bacteroides fragilis 99.29%, s__(g__Flavobacterium) 0.71%
s__Acinetobacter nosocomialis	141	3	s__Acinetobacter nosocomialis 70.92%, s__(g__Flavobacterium) 19.86%, s__Acinetobacter baumannii 9.22%
s__Staphylococcus argenteus	139	2	s__Staphylococcus argenteus 87.77%, s__Staphylococcus aureus 12.23%
s__Rhizobium leguminosarum_C	132	1	s__Rhizobium leguminosarum 100.0%
s__Burkholderia cepacia	130	5	s__Burkholderia cepacia 93.85%, s__(g__Flavobacterium) 3.85%, s__Burkholderia lata 0.77%, s__Burkholderia territorii 0.77%, s__Burkholderia reimsis 0.77%
s__Klebsiella_A grimontii	130	4	s__Klebsiella oxytoca 66.92%, s__Klebsiella michiganensis 15.38%, s__Klebsiella grimontii 13.08%, s__(g__Flavobacterium) 4.62%
s__Pseudomonas_A stutzeri	129	2	s__Pseudomonas stutzeri 96.12%, s__(g__Flavobacterium) 3.88%
s__Mannheimia haemolytica	125	2	s__Mannheimia haemolytica 99.2%, s__(g__Flavobacterium) 0.8%
s__Streptococcus suis_P	117	1	s__Streptococcus suis 100.0%
s__Limosilactobacillus reuteri	114	2	s__Lactobacillus reuteri 95.61%, s__(g__Flavobacterium) 4.39%
s__Bacillus_A pseudomycoides	113	4	s__Bacillus pseudomycoides 94.69%, s__Bacillus cereus 2.65%, s__(g__Flavobacterium) 1.77%, s__Bacillus mycoides 0.88%
s__Bacillus_C megaterium	111	3	s__Bacillus megaterium 85.59%, s__(g__Flavobacterium) 12.61%, s__Bacillus aryabhattai 1.8%
s__Enterobacter roggenkampii	110	6	s__Enterobacter roggenkampii 70.0%, s__Enterobacter cloacae 19.09%, s__(g__Flavobacterium) 7.27%, s__Lelliottia nimipressuralis 1.82%, s__Leclercia adecarboxylata 0.91%, s__Escherichia coli 0.91%
s__Moraxella catarrhalis	109	2	s__Moraxella catarrhalis 99.08%, s__(g__Flavobacterium) 0.92%
s__Burkholderia stagnalis	106	4	s__Burkholderia stagnalis 94.34%, s__(g__Flavobacterium) 2.83%, s__Burkholderia pyrrocinia 1.89%, s__Burkholderia anthina 0.94%
s__Bacteroides uniformis	104	2	s__Bacteroides uniformis 68.27%, s__(g__Flavobacterium) 31.73%
s__Bifidobacterium breve	103	3	s__Bifidobacterium breve 98.06%, s__(g__Flavobacterium) 0.97%, s__Bifidobacterium bifidum 0.97%
s__Klebsiella_A oxytoca	100	2	s__Klebsiella oxytoca 98.0%, s__(g__Flavobacterium) 2.0%
s__Phocaeicola vulgatus	100	2	s__Bacteroides vulgatus 90.0%, s__(g__Flavobacterium) 10.0%
s__Lactobacillus crispatus	98	3	s__Lactobacillus crispatus 92.86%, s__(g__Flavobacterium) 6.12%, s__Lactobacillus acidophilus 1.02%
s__Staphylococcus hominis	98	4	s__Staphylococcus hominis 72.45%, s__(g__Flavobacterium) 25.51%, s__Streptococcus pneumoniae 1.02%, s__Staphylococcus saprophyticus 1.02%
